tweetID	tweetURL	user	tweet	tweet_translated	sentiment_Rater1	sentiment_Rater2	sentiment_Rater3	sentiment_Rater4	sentiment_Rater5	sentiment_Rater6	sentiment_textblob	sentiment_VADER	sentiment_roBERTa	sentiment_Rater1_NvsNonN	sentiment_Rater1_PvsNonP	sentiment_Rater2_NvsNonN	sentiment_Rater2_PvsNonP	sentiment_Rater3_NvsNonN	sentiment_Rater3_PvsNonP	sentiment_Rater4_NvsNonN	sentiment_Rater4_PvsNonP	sentiment_Rater5_NvsNonN	sentiment_Rater5_PvsNonP	sentiment_Rater6_NvsNonN	sentiment_Rater6_PvsNonP	sentiment_textblob_NvsNonN	sentiment_textblob_PvsNonP	sentiment_VADER_NvsNonN	sentiment_VADER_PvsNonP	sentiment_roBERTa_NvsNonN	sentiment_roBERTa_PvsNonP	majority_sentiment_human_raters	majority_sentiment_human_raters_NvsNonN	majority_sentiment_human_raters_PvsNonP
1.69E+18	https://x.com/AxolileNotywala/status/1688319821144895488	AxolileNotywala	What’s happening in Cape Town right now is heartbreaking 💔. Site C in Khayelitsha. Hearing the about the levels of crime and violence there and in other townships 😢. KZN riots levels now. The people continue to bear the brunt of it all while politicians sleep nicely.'	What’s happening in Cape Town right now is heartbreaking 💔. Site C in Khayelitsha. Hearing the about the levels of crime and violence there and in other townships 😢. KZN riots levels now. The people continue to bear the brunt of it all while politicians sleep nicely.'	negative	positive	neutral	negative	negative	negative	positive	negative	negative	negative	non-positive	non-negative	positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.67E+18	https://x.com/anamafalda1992/status/1668587233740292097	anamafalda1992	South Africa: Former PSL Coach Shot Dead at Tournament in Khayelitsha https://t.co/FBb8lv5UKL #newspapers #feedly'	South Africa: Former PSL Coach Shot Dead at Tournament in Khayelitsha https://t.co/FBb8lv5UKL #newspapers #feedly'	negative	neutral	negative	negative	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.71E+18	https://x.com/ActionSocietySA/status/1709847572708262307	ActionSocietySA	The murder case of Nosiphiwo James will be heard in the Khayelitsha Court today. The 29 year-old was allegedly stabbed to death by her boyfriend in May 2022 in Taiwan informal settlement in Site C. The man accused of killing Nosiphiwo was arrested following cooperation between https://t.co/QIfaIBw9Sn'	The murder case of Nosiphiwo James will be heard in the Khayelitsha Court today. The 29 year-old was allegedly stabbed to death by her boyfriend in May 2022 in Taiwan informal settlement in Site C. The man accused of killing Nosiphiwo was arrested following cooperation between https://t.co/QIfaIBw9Sn'	negative	neutral	negative	negative	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.71E+18	https://x.com/ACEMIDIAN/status/1706259441681637804	ACEMIDIAN	@kmosebetsi @Our_DA I reside in South Africa, which is the reason why I can tell you about the Western Cape. As it relates to Mngeni municipality, eMpophoneni is part of it but, like Khayelitsha in the WC, it is neglected because Black people who reside there don't control the dominant narrative.'	@kmosebetsi @Our_DA I reside in South Africa, which is the reason why I can tell you about the Western Cape. As it relates to Mngeni municipality, eMpophoneni is part of it but, like Khayelitsha in the WC, it is neglected because Black people who reside there don't control the dominant narrative.'	negative	negative	neutral	neutral	neutral	negative	negative	negative	negative	negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.80E+18	https://x.com/919News_/status/1800819274845675698	919News_	Western Cape police have arrested two people in connection with the mass shooting in Khayelitsha over the weekend. Four people including minors aged between 5 and 12 were shot dead in Site C on Saturday.#919News https://t.co/Y9ZtMLKFdu'	Western Cape police have arrested two people in connection with the mass shooting in Khayelitsha over the weekend. Four people including minors aged between 5 and 12 were shot dead in Site C on Saturday.#919News https://t.co/Y9ZtMLKFdu'	negative	neutral	negative	neutral	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.81E+18	https://x.com/1human22/status/1805253307717259286	1human22	@TUMOPHONIK @MYANC Khayelitsha Nyanga and Cape Flats are way better than ANCEFF destroyed rest of South Africa. This is KZN 👇🏻 https://t.co/YtjWRMz8Eu'	@TUMOPHONIK @MYANC Khayelitsha Nyanga and Cape Flats are way better than ANCEFF destroyed rest of South Africa. This is KZN 👇🏻 https://t.co/YtjWRMz8Eu'	negative	neutral	neutral	neutral	negative	negative	positive	negative	positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	non-negative	positive	negative	negative	non-positive
1.69E+18	https://x.com/talk2akplug/status/1687365246476746752	talk2akplug	18 Profitable Small business ideas to start in South Africa in 2023 with little capital https://t.co/dkzMAyUK5o ^^ ^^ Nasty C Uncle Waffles Kelvin Momo Khayelitsha Julius Kelly Khumalo Zandi Mthokozisi Thwala Longwe Anele Kwa Langa Cape Town #TaxiStrike | #SenzoMeyiwaTrial'	18 Profitable Small Business Ideas to Start in South Africa in 2023 With Little Capital Https ://t.co ^^#Sezumiwatric '	neutral	neutral	positive	positive	positive	neutral	negative	negative	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.56E+18	https://x.com/EFF_Cape_Metro/status/1557415682752626690	EFF_Cape_Metro	ICYMI An elderly from ward 18, Site C in Khayelitsha, Zone 6 states that how they have been raised and how the youth of today is totally different. She argues that the parenting skills have shifted #EFFWomensDay #EFFCapeMetroWomensDialogue https://t.co/uzGqONUXgO'	ICYMI An elderly from ward 18, Site C in Khayelitsha, Zone 6 states that how they have been raised and how the youth of today is totally different. She argues that the parenting skills have shifted #EFFWomensDay #EFFCapeMetroWomensDialogue https://t.co/uzGqONUXgO'	neutral	neutral	neutral	neutral	neutral	neutral	neutral	negative	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.66E+18	https://x.com/EarthHistoryPix/status/1660267595046563842	EarthHistoryPix	Noluyanda Mqutwana dances outside her two-room family shack in Khayelitsha, one of the poorest black townships outside Cape Town (South Africa 2000) From u/SteO153 https://t.co/xyH6r6kHxe'	Noluyanda Mqutwana dances outside her two-room family shack in Khayelitsha, one of the poorest black townships outside Cape Town (South Africa 2000) From u/SteO153 https://t.co/xyH6r6kHxe'	neutral	neutral	neutral	neutral	neutral	neutral	negative	negative	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.79E+18	https://x.com/ActionSA_WC/status/1789381589115318285	ActionSA_WC	💚From winter donations in Xakabantu and Redhill to visibility drives in Atlantis and Khayelitsha the Green Machine is hard at work. Let's Fix our province and South Africa🇿🇦 https://t.co/xp406O881V'	💚From winter donations in Xakabantu and Redhill to visibility drives in Atlantis and Khayelitsha the Green Machine is hard at work. Let's Fix our province and South Africa🇿🇦 https://t.co/xp406O881V'	positive	positive	positive	neutral	positive	positive	negative	negative	neutral	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	negative	non-positive	negative	non-positive	non-negative	non-positive	positive	non-negative	positive
1.67E+18	https://x.com/UnplayableZA/status/1667958778258399232	UnplayableZA	𝗦𝗔𝗗 𝗡𝗘𝗪𝗦 Former Steenburg United &amp; Real Kings coach has sadly passed away. "He was shot today at Site C Stadium in Khayelitsha after a game. The police are still investigating what happened," confirms our source. May his soul RIP. https://t.co/7Lh8PhE6aH'	𝗦𝗔𝗗 𝗡𝗘𝗪𝗦 Former Steenburg United &amp; Real Kings coach has sadly passed away. "He was shot today at Site C Stadium in Khayelitsha after a game. The police are still investigating what happened," confirms our source. May his soul RIP. https://t.co/7Lh8PhE6aH'	negative	neutral	negative	negative	negative	negative	negative	neutral	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	negative	non-positive
1.75E+18	https://x.com/South_in_Land/status/1750958455467167829	South_in_Land	@thedjexcess @Our_DA @ANCParliament Western Cape ain't good, it has suburbs like any other province in South Africa, and also has shakes, i.e., Khayelitsha...'	@thedjexcess @Our_DA @ANCParliament Western Cape ain't good, it has suburbs like any other province in South Africa, and also has shakes, i.e., Khayelitsha...'	negative	negative	neutral	negative	negative	negative	positive	neutral	negative	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	non-negative	non-positive	negative	non-positive	negative	negative	non-positive
1.66E+18	https://x.com/Rifak_Mod/status/1656699227576172545	Rifak_Mod	@Eskom_SA Every day we have an extra hour+ of unscheduled power outages in Khayelitsha Site C. I think Eskom deliberately cuts power to make up for COCT demand. I mean Khayelitsha clearly is the toothless dog to Eskom compared to COCT. Else a solution would've been founds months ago'	@Eskom_SA Every day we have an extra hour+ of unscheduled power outages in Khayelitsha Site C. I think Eskom deliberately cuts power to make up for COCT demand. I mean Khayelitsha clearly is the toothless dog to Eskom compared to COCT. Else a solution would've been founds months ago'	negative	neutral	neutral	negative	negative	negative	negative	neutral	negative	negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	negative	non-positive
1.69E+18	https://x.com/msngangqu/status/1688271567061483520	msngangqu	Now Khayelitsha Site C Plaza Shopping Centre is burning. People are literally burning what feeds them. Black on Black Violance #TaxiStrike https://t.co/4aZjmwcpiG'	Now Khayelitsha Site C Plaza Shopping Centre is burning. People are literally burning what feeds them. Black on Black Violance #TaxiStrike https://t.co/4aZjmwcpiG'	negative	negative	negative	negative	negative	negative	negative	neutral	negative	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	negative	non-positive
1.72E+18	https://x.com/mlondol98199606/status/1715045690206769541	mlondol98199606	@ChristianEls22 @CapeTown @askashbroker @CityofCT Got to philippi and go to Langa go to Samora..Cossovo or site c in Khayelitsha okanye uvale umlomo wakho'	@ Christianels22 @capetown @cityofto @cityoft got Philippi and GO Philippi and GO to sammora..cossovo or site c In Khayelitsha	neutral	neutral	neutral	neutral	positive	negative	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.79E+18	https://x.com/lam_Lloyiso/status/1793584896700711182	lam_Lloyiso	@_idyanSbo Apha khayelitsha site C Nolungile station, kukho tactical Armed Response, zixwayile eziya makhe baye kuzo benze amalinge🤣😂'	@Y_IDANESBO KNAYHANS STANDELING STATE CARY STATION, THERE THE TACTICT ARMENSE, are firmly to do to them	neutral	neutral	neutral	neutral	neutral	negative	negative	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
